Piece,Side,page,row,column,side number,In_Out,Matched,Matched_side,Width,Height,symetry,m,c,head_flatness,
Page_0001_3_3,Page_0001_3_3_4_out,0001,3,3,4,out,0,,259.6959761,259.6959761,0.535081996,-0.045461155,38.19728574,,
Page_0001_3_4,Page_0001_3_4_1_out,0001,3,4,1,out,0,,238.4302833,238.4302833,0.578075252,-0.103130016,53.36796104,,
Page_0001_3_4,Page_0001_3_4_2_in,0001,3,4,2,in,1,Page_0001_3_3_2_out,286.3424523,286.3424523,0.580446873,-0.013965072,37.5495029,,
Page_0001_3_4,Page_0001_3_4_3_out,0001,3,4,3,out,0,,213.7592103,213.7592103,0.40824634,0.009907864,29.44973799,,
Page_0001_3_4,Page_0001_3_4_4_in,0001,3,4,4,in,0,,219.6474448,219.6474448,0.542439631,-0.093664186,58.34377461,,
Page_0001_3_5,Page_0001_3_5_1_in,0001,3,5,1,in,0,,209.0861067,209.0861067,0.570784821,0.057766126,26.21210002,,
Page_0001_3_5,Page_0001_3_5_2_out,0001,3,5,2,out,1,Page_0001_3_6_2_in,290.0068965,290.0068965,0.595191667,-0.000958114,35.16428032,,
Page_0001_3_5,Page_0001_3_5_3_in,0001,3,5,3,in,0,,184.439692,184.439692,0.447439591,0.065779022,26.90196045,,
Page_0001_3_5,Page_0001_3_5_4_out,0001,3,5,4,out,0,,258.0271304,258.0271304,0.624545646,-0.049542883,42.36436973,,
Page_0001_3_6,Page_0001_3_6_1_out,0001,3,6,1,out,0,,226.5656638,226.5656638,0.549248032,-0.016676431,31.19065352,,
Page_0001_3_6,Page_0001_3_6_2_in,0001,3,6,2,in,1,Page_0001_3_5_2_out,281.6416162,281.6416162,0.576725246,0.077969369,20.4812023,,
Page_0001_3_6,Page_0001_3_6_3_out,0001,3,6,3,out,0,,209.2582137,209.2582137,0.454863093,0.113360328,22.80315769,,
Page_0001_3_6,Page_0001_3_6_4_in,0001,3,6,4,in,0,,224.0357114,224.0357114,0.390500478,0.002788945,37.53418066,,
Page_0001_3_7,Page_0001_3_7_1_out,0001,3,7,1,out,0,,254.0314941,254.0314941,0.539515279,0.029000461,32.62442462,,
Page_0001_3_7,Page_0001_3_7_2_in,0001,3,7,2,in,0,,191.2119243,191.2119243,0.660603906,0.142670937,16.4481061,,
Page_0001_3_7,Page_0001_3_7_3_out,0001,3,7,3,out,0,,287.3673607,287.3673607,0.495616372,-0.08972559,51.28155029,,
Page_0001_3_7,Page_0001_3_7_4_in,0001,3,7,4,in,0,,218.1123564,218.1123564,0.42280285,0.022173384,29.06205706,,
Page_0001_4_1,Page_0001_4_1_1_in,0001,4,1,1,in,0,,225.3197728,225.3197728,0.59557998,0.04869927,20.19343941,,
Page_0001_4_1,Page_0001_4_1_2_out,0001,4,1,2,out,1,Page_0001_4_2_2_in,287.0069686,287.0069686,0.527466524,0.024779342,25.98288435,,
Page_0001_4_1,Page_0001_4_1_3_in,0001,4,1,3,in,0,,185.1944924,185.1944924,0.495349447,0.094487836,28.11438325,,
Page_0001_4_1,Page_0001_4_1_4_out,0001,4,1,4,out,0,,257.8158257,257.8158257,0.481412388,-0.093615639,45.80034573,,
Page_0001_4_2,Page_0001_4_2_1_out,0001,4,2,1,out,0,,234.1324412,234.1324412,0.533310227,-0.040981929,37.84470147,,
Page_0001_4_2,Page_0001_4_2_2_in,0001,4,2,2,in,1,Page_0001_4_1_2_out,275.7263136,275.7263136,0.553502137,0.080919882,22.15458195,,
Page_0001_4_2,Page_0001_4_2_3_out,0001,4,2,3,out,0,,204.0710661,204.0710661,0.482530916,0.08743702,21.70972648,,
Page_0001_4_2,Page_0001_4_2_4_in,0001,4,2,4,in,0,,226.3183598,226.3183598,0.516321749,-0.055951168,46.56852508,,
Page_0001_4_3,Page_0001_4_3_1_in,0001,4,3,1,in,0,,212.2498528,212.2498528,0.432830189,0.030930444,28.1110183,,
Page_0001_4_3,Page_0001_4_3_2_out,0001,4,3,2,out,1,Page_0001_4_4_2_in,251.7180963,251.7180963,0.619424892,0.098335159,22.44885227,,
Page_0001_4_3,Page_0001_4_3_3_in,0001,4,3,3,in,0,,198.1615503,198.1615503,0.603748599,0.148494211,15.98552074,,
Page_0001_4_3,Page_0001_4_3_4_out,0001,4,3,4,out,0,,284.5856637,284.5856637,0.447332354,-0.142141168,58.64343057,,
Page_0001_4_4,Page_0001_4_4_1_out,0001,4,4,1,out,0,,218.2773465,218.2773465,0.470689474,-0.102917199,41.53101983,,
Page_0001_4_4,Page_0001_4_4_2_in,0001,4,4,2,in,1,Page_0001_4_3_2_out,244.0184419,244.0184419,0.677252498,0.159038327,17.73210636,,
Page_0001_4_4,Page_0001_4_4_3_out,0001,4,4,3,out,0,,209.1936902,209.1936902,0.581509072,0.063716077,17.74934424,,
Page_0001_4_4,Page_0001_4_4_4_in,0001,4,4,4,in,0,,245.2937015,245.2937015,0.502368329,-0.085786881,54.0179349,,
Page_0001_4_5,Page_0001_4_5_1_in,0001,4,5,1,in,0,,165.3874239,165.3874239,0.437392608,0.080257541,32.23619867,,
Page_0001_4_5,Page_0001_4_5_2_out,0001,4,5,2,out,1,Page_0001_4_6_2_in,269.0724809,269.0724809,0.592154696,-0.003000832,32.59414789,,
Page_0001_4_5,Page_0001_4_5_3_in,0001,4,5,3,in,0,,231.6246964,231.6246964,0.575079217,0.161615541,14.2742264,,
Page_0001_4_5,Page_0001_4_5_4_out,0001,4,5,4,out,0,,282.4482253,282.4482253,0.469684245,0.132591415,20.01348273,,
Page_0001_4_6,Page_0001_4_6_1_out,0001,4,6,1,out,0,,188.0026596,188.0026596,0.358353374,-0.120519385,41.09084482,,
Page_0001_4_6,Page_0001_4_6_2_in,0001,4,6,2,in,1,Page_0001_4_5_2_out,261.6123086,261.6123086,0.590026446,-0.013591011,36.67596874,,
Page_0001_4_6,Page_0001_4_6_3_out,0001,4,6,3,out,0,,224.5105788,224.5105788,0.557861323,0.157530009,14.54476301,,
Page_0001_4_6,Page_0001_4_6_4_in,0001,4,6,4,in,0,,236.0338959,236.0338959,0.382036186,-0.147269577,48.4725986,,
Page_0001_4_7,Page_0001_4_7_1_out,0001,4,7,1,out,0,,285.0631509,285.0631509,0.484771293,0.02500305,29.91344107,,
Page_0001_4_7,Page_0001_4_7_2_in,0001,4,7,2,in,0,,184.7836573,184.7836573,0.458075853,0.039754618,29.28587582,,
Page_0001_4_7,Page_0001_4_7_3_out,0001,4,7,3,out,0,,258.6310113,258.6310113,0.532516071,-0.073308319,47.08026141,,
Page_0001_4_7,Page_0001_4_7_4_in,0001,4,7,4,in,0,,221.183182,221.183182,0.532889089,0.030482676,25.65735611,,
Page_0001_5_1,Page_0001_5_1_1_out,0001,5,1,1,out,0,,225.2221126,225.2221126,0.422868408,-0.063144554,36.58062191,,
Page_0001_5_1,Page_0001_5_1_2_in,0001,5,1,2,in,1,Page_0001_5_2_2_out,263.1900454,263.1900454,0.62239963,0.170658063,13.14392061,,
Page_0001_5_1,Page_0001_5_1_3_out,0001,5,1,3,out,0,,221.183182,221.183182,0.530906341,0.124224163,16.54920236,,
